2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65392), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=4
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65393), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65394), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=6
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65395), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=4
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65396), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=3
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65397), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=0
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65398), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65399), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=2
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65400), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=14
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65401), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=0
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65402), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=3
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65403), ignored
2026-03-18 16:09:47 | WARNING  | DronePortMain | Packet validation failed: id=1000, num=1, len=0
2026-03-18 16:09:47 | WARNING  | DronePortMain | Invalid packet from ('127.0.0.1', 65404), ignored
